iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
MNG,Mongolia,75.88235294117646,75.88235294117646,80,75.29411764705883
MNP,Northern Mariana Islands,17.647058823529413,17.647058823529413,17.647058823529413,15.294117647058824
MOZ,Mozambique,53.8235294117647,48.23529411764705,47.352941176470594,45
MRT,Mauritania,47.94117647058823,45,43.23529411764706,40.88235294117647
MUS,Mauritius,63.23529411764706,67.05882352941177,63.23529411764706,60.88235294117647
MWI,Malawi,59.117647058823536,61.76470588235294,59.705882352941174,54.11764705882352
MYS,Malaysia,71.76470588235294,72.3529411764706,66.47058823529412,59.117647058823536
NAM,Namibia,50.588235294117645,49.70588235294117,49.70588235294117,43.23529411764706
NCL,New Caledonia,13.52941176470588,13.52941176470588,13.52941176470588,11.176470588235293
NER,Niger,63.529411764705884,59.705882352941174,55,52.647058823529406
NGA,Nigeria,72.05882352941177,71.17647058823529,71.17647058823529,66.47058823529412
NIC,Nicaragua,65,65,60.88235294117647,55
NLD,Netherlands,70,70,70,67.6470588235294
NOR,Norway,68.52941176470588,68.52941176470588,68.52941176470588,66.17647058823529
NPL,Nepal,62.05882352941177,59.705882352941174,59.117647058823536,55.88235294117647
NRU,Nauru,27.05882352941176,22.941176470588236,22.941176470588236,16.470588235294116
NZL,New Zealand,62.64705882352941,60.88235294117647,59.705882352941174,53.529411764705884
OMN,Oman,48.529411764705884,48.529411764705884,50.29411764705883,47.94117647058823
PAK,Pakistan,58.23529411764706,57.05882352941176,62.94117647058823,53.529411764705884
PAN,Panama,50.588235294117645,50.588235294117645,52.35294117647059,40.88235294117647
PER,Peru,75.88235294117646,72.3529411764706,73.23529411764706,69.11764705882354
PHL,Philippines,84.41176470588235,75.88235294117646,75.29411764705883,70.58823529411765
PLW,Palau,31.176470588235293,31.176470588235293,31.176470588235293,28.82352941176471
PNG,Papua New Guinea,35.294117647058826,33.529411764705884,33.529411764705884,31.176470588235293
POL,Poland,71.76470588235294,71.76470588235294,71.76470588235294,69.41176470588235
PRI,Puerto Rico,42.94117647058823,42.94117647058823,42.94117647058823,40.588235294117645
PRK,"Korea, Dem. People’s Rep.",15.294117647058824,17.058823529411764,15.294117647058824,12.941176470588237
PRT,Portugal,70,70,70,67.6470588235294
PRY,Paraguay,69.70588235294117,70.58823529411765,71.76470588235294,67.6470588235294
PSE,West Bank and Gaza,55.58823529411764,51.76470588235295,51.76470588235295,49.411764705882355
PYF,French Polynesia,5.882352941176471,5.882352941176471,5.882352941176471,3.5294117647058822
QAT,Qatar,58.23529411764706,56.470588235294116,56.470588235294116,54.11764705882352
ROU,Romania,80,80,80,77.6470588235294
RUS,Russian Federation,81.76470588235294,80,81.76470588235294,78.23529411764706
RWA,Rwanda,57.94117647058823,58.8235294117647,59.411764705882355,53.235294117647065
SAU,Saudi Arabia,44.705882352941174,44.705882352941174,47.05882352941177,44.705882352941174
SDN,Sudan,40.588235294117645,36.1764705882353,34.705882352941174,31.470588235294116
SEN,Senegal,55,52.35294117647059,53.235294117647065,48.23529411764705
SGP,Singapore,58.23529411764706,56.470588235294116,56.470588235294116,54.11764705882352
SLB,Solomon Islands,32.05882352941177,30.58823529411765,29.705882352941178,24.705882352941178
SLE,Sierra Leone,59.99999999999999,59.705882352941174,61.470588235294116,55.294117647058826
SLV,El Salvador,69.11764705882354,67.05882352941177,65,61.76470588235294
SMR,San Marino,11.764705882352942,11.764705882352942,11.764705882352942,11.764705882352942
SOM,Somalia,19.41176470588235,19.41176470588235,19.41176470588235,17.058823529411764
SRB,Serbia,83.52941176470588,83.52941176470588,83.52941176470588,81.17647058823529
SSD,South Sudan,25.294117647058822,25.294117647058822,25.294117647058822,15.882352941176471
STP,Sao Tome and Principe,37.94117647058823,37.94117647058823,36.1764705882353,33.8235294117647
SUR,Suriname,29.705882352941178,29.705882352941178,35.588235294117645,29.705882352941178
SVK,Slovak Republic,71.76470588235294,70,70,67.6470588235294
SVN,Slovenia,62.94117647058823,64.11764705882354,62.94117647058823,60.588235294117645
SWE,Sweden,70,70,70,67.6470588235294
SWZ,Eswatini,44.11764705882353,43.23529411764706,43.23529411764706,40.88235294117647
SXM,Sint Maarten (Dutch part),17.647058823529413,17.647058823529413,17.647058823529413,15.294117647058824
SYC,Seychelles,49.411764705882355,49.411764705882355,47.64705882352941,42.64705882352941
SYR,Syrian Arab Republic,8.529411764705882,7.647058823529412,9.411764705882353,7.0588235294117645
TCA,Turks and Caicos Islands,19.41176470588235,19.41176470588235,17.647058823529413,15.294117647058824
TCD,Chad,42.35294117647059,40.294117647058826,37.94117647058823,34.705882352941174
TGO,Togo,65.29411764705883,62.35294117647059,59.117647058823536,56.76470588235294
THA,Thailand,71.76470588235294,70,70,67.6470588235294
TJK,Tajikistan,60.294117647058826,63.529411764705884,61.1764705882353,57.35294117647059
TKM,Turkmenistan,36.470588235294116,34.705882352941174,32.94117647058823,30.58823529411765
TLS,Timor-Leste,44.705882352941174,45.588235294117645,45.588235294117645,39.705882352941174
TON,Tonga,35.588235294117645,33.8235294117647,32.05882352941177,29.705882352941178
TTO,Trinidad and Tobago,36.470588235294116,31.764705882352942,27.941176470588236,24.705882352941178
TUN,Tunisia,60.588235294117645,59.117647058823536,59.117647058823536,56.76470588235294
TUR,Turkey,64.41176470588235,62.64705882352941,66.17647058823529,62.05882352941177
TUV,Tuvalu,21.176470588235293,19.41176470588235,13.52941176470588,11.176470588235293
TZA,Tanzania,56.470588235294116,53.8235294117647,54.70588235294118,48.23529411764705
UGA,Uganda,67.3529411764706,69.70588235294117,59.99999999999999,55.88235294117647
UKR,Ukraine,72.3529411764706,72.3529411764706,68.23529411764706,64.70588235294117
URY,Uruguay,68.52941176470588,66.76470588235294,68.52941176470588,64.41176470588235
USA,United States,76.47058823529412,74.70588235294117,72.3529411764706,66.17647058823529
UZB,Uzbekistan,49.411764705882355,52.94117647058823,55.294117647058826,52.94117647058823
VCT,St. Vincent and the Grenadines,41.76470588235294,41.76470588235294,40.88235294117647,38.529411764705884
VEN,"Venezuela, RB",46.470588235294116,44.705882352941174,33.529411764705884,18.235294117647058
VGB,British Virgin Islands,5.882352941176471,5.882352941176471,5.882352941176471,3.5294117647058822
VIR,Virgin Islands (U.S.),11.764705882352942,11.764705882352942,11.764705882352942,9.411764705882353
VNM,Vietnam,60.88235294117647,59.117647058823536,60.88235294117647,57.35294117647059
VUT,Vanuatu,45.588235294117645,44.705882352941174,42.35294117647059,34.11764705882353
WSM,Samoa,52.94117647058823,52.05882352941177,48.23529411764705,44.11764705882353
XKX,Kosovo,47.05882352941177,54.70588235294118,54.70588235294118,52.35294117647059
YEM,"Yemen, Rep.",35.588235294117645,31.176470588235293,25,16.470588235294116
ZAF,South Africa,72.6470588235294,72.6470588235294,70.88235294117646,68.52941176470588
ZMB,Zambia,50,50.588235294117645,49.70588235294117,43.23529411764706
ZWE,Zimbabwe,53.8235294117647,52.647058823529406,51.470588235294116,49.11764705882353
