iso3c,country,SPI_2016,SPI_2017,SPI_2018,SPI_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
GMB,"Gambia, The",41.80059523809524,41.80059523809524,48.94345238095239,NA,25,25,25,33.33333333333333,36.25,36.25,36.25,36.25,91.66666666666667,91.66666666666667,91.66666666666667,NA,14.285714285714285,14.285714285714285,42.857142857142854,0
GNB,Guinea-Bissau,30.44642857142857,32.529761904761905,34.01785714285714,NA,12.5,20.833333333333336,20.833333333333336,20.833333333333336,20,20,20,23.75,75,75,66.66666666666667,NA,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285
GNQ,Equatorial Guinea,27.8125,27.916666666666668,32.529761904761905,NA,16.666666666666664,20.833333333333336,25,25,36.25,32.5,32.5,37.5,58.333333333333336,58.333333333333336,58.333333333333336,NA,0,0,14.285714285714285,42.857142857142854
GRC,Greece,79.91071428571428,79.91071428571428,90.625,NA,79.16666666666666,79.16666666666666,79.16666666666666,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,57.14285714285714,57.14285714285714,100,NA
GRD,Grenada,34.27083333333333,31.145833333333336,34.82142857142857,NA,33.33333333333333,29.166666666666668,33.33333333333333,33.33333333333333,28.749999999999996,28.749999999999996,25,32.5,75,66.66666666666667,66.66666666666667,NA,0,0,14.285714285714285,42.857142857142854
GTM,Guatemala,56.10119047619047,54.85119047619047,54.25595238095237,NA,33.33333333333333,33.33333333333333,33.33333333333333,41.66666666666667,62.5,57.49999999999999,57.49999999999999,63.74999999999999,100,100,83.33333333333333,NA,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
GUY,Guyana,30.208333333333332,28.125,33.18452380952381,NA,33.33333333333333,25,25,25,12.5,12.5,12.5,16.25,75,75,66.66666666666667,NA,0,0,28.57142857142857,42.857142857142854
HND,Honduras,54.95535714285714,54.95535714285714,64.41964285714286,NA,37.5,37.5,37.5,37.5,53.75,53.75,48.75,45,100,100,100,NA,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
HRV,Croatia,80.69940476190476,81.63690476190476,82.67857142857143,NA,79.16666666666666,79.16666666666666,83.33333333333334,91.66666666666666,66.25,70,70,75,91.66666666666667,91.66666666666667,91.66666666666667,NA,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571
HTI,Haiti,31.48809523809524,32.32142857142858,40.714285714285715,NA,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,32.5,27.500000000000004,32.5,37.5,58.333333333333336,66.66666666666667,66.66666666666667,NA,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857
